  33.71
 165.00
 577320463
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 03 02 12	40780.80	0.05	396.40	0.00	-6.02	-6.02	301.54
1980 03 03 12	40780.80	1.19	483.79	0.00	-2.89	-2.89	304.76
1980 03 04 12	41126.40	1.22	318.02	0.00	2.33	2.33	553.13
1980 03 05 12	41126.40	16.96	409.59	0.00	11.84	11.84	1195.31
1980 03 06 12	41126.40	10.87	452.69	0.00	7.11	7.11	798.70
1980 03 07 12	41472.00	17.45	213.37	0.00	12.09	12.09	1326.33
1980 03 08 12	41472.00	6.91	370.51	0.00	17.86	17.86	1798.31
1980 03 09 12	41817.60	0.48	482.96	0.00	14.32	14.32	1179.89
1980 03 10 12	41817.60	0.62	474.91	0.00	14.11	14.11	1026.59
1980 03 11 12	41817.60	0.00	434.09	0.00	10.44	10.44	815.72
1980 03 12 12	42163.20	68.94	243.15	0.00	7.71	7.71	918.45
1980 03 13 12	42163.20	8.12	469.96	0.00	9.76	9.76	1068.80
1980 03 14 12	42163.20	0.00	507.44	0.00	7.69	7.69	724.66
1980 03 15 12	42508.80	0.00	465.76	0.00	8.25	8.25	701.53
1980 03 16 12	42508.80	18.68	115.31	0.00	11.22	11.22	1125.32
1980 03 17 12	42844.83	68.81	161.82	0.00	14.28	14.28	1556.98
1980 03 18 12	42854.40	6.49	508.69	0.00	8.98	8.98	919.46
1980 03 19 12	42854.40	2.05	211.85	0.00	7.53	7.53	806.96
1980 03 20 12	43200.00	28.86	242.16	0.00	14.47	14.47	1573.36
1980 03 21 12	43200.00	28.90	509.50	0.00	13.65	13.65	1274.05
1980 03 22 12	43200.00	0.25	519.42	0.00	7.68	7.68	702.38
1980 03 23 12	43545.60	0.66	235.94	0.00	10.71	10.71	854.55
1980 03 24 12	43545.60	26.07	415.12	0.00	14.45	14.45	1338.49
1980 03 25 12	43555.17	0.35	416.38	0.00	10.20	10.20	1022.84
1980 03 26 12	43891.20	0.96	294.48	0.00	11.32	11.32	1092.76
1980 03 27 12	43891.20	10.46	290.64	0.00	12.05	12.05	1220.53
1980 03 28 12	44236.80	52.51	236.41	0.00	15.41	15.41	1638.55
1980 03 29 12	44236.80	1.82	304.41	0.00	15.49	15.49	1555.37
1980 03 30 12	44236.80	4.06	478.90	0.00	16.05	16.05	1529.16
1980 03 31 12	44582.40	0.00	437.38	0.00	12.55	12.55	1089.02
1980 04 01 12	44582.40	0.00	503.83	0.00	12.80	12.80	1086.17
1980 04 02 12	44582.40	1.17	235.73	0.00	14.45	14.45	1330.12
1980 04 03 12	44928.00	2.47	263.35	0.00	16.47	16.47	1713.83
1980 04 04 12	44928.00	2.57	498.86	0.00	16.56	16.56	1497.00
1980 04 05 12	45273.60	0.00	482.92	0.00	10.53	10.53	858.20
1980 04 06 12	45273.60	0.00	385.10	0.00	11.62	11.62	919.05
1980 04 07 12	45273.60	0.83	486.02	0.00	14.52	14.52	1416.41
1980 04 08 12	45619.20	5.48	376.17	0.00	18.30	18.30	1752.29
1980 04 09 12	45619.20	0.00	522.78	0.00	12.97	12.97	994.61
1980 04 10 12	45619.20	1.89	522.70	0.00	12.62	12.62	891.11
1980 04 11 12	45964.80	11.92	328.30	0.00	13.19	13.19	1136.59
1980 04 12 12	45964.80	109.32	194.76	0.00	16.08	16.08	1739.12
1980 04 13 12	45974.37	40.47	206.15	0.00	15.49	15.49	1667.53
1980 04 14 12	46310.40	4.20	239.21	0.00	10.66	10.66	1173.72
1980 04 15 12	46310.40	0.00	504.69	0.00	9.45	9.45	860.53
1980 04 16 12	46502.57	0.00	525.02	0.00	12.43	12.43	937.66
1980 04 17 12	46656.00	0.04	467.81	0.00	14.13	14.13	1002.97
1980 04 18 12	46656.00	0.26	438.01	0.00	15.95	15.95	1252.16
1980 04 19 12	46984.59	0.34	441.49	0.00	17.49	17.49	1331.02
1980 04 20 12	47001.60	0.00	520.60	0.00	19.34	19.34	1425.87
1980 04 21 12	47001.60	0.00	517.32	0.00	19.51	19.51	1477.13
1980 04 22 12	47330.19	0.00	521.84	0.00	20.30	20.30	1488.14
1980 04 23 12	47347.20	0.00	498.40	0.00	22.06	22.06	1618.80
1980 04 24 12	47347.20	0.00	518.59	0.00	20.85	20.85	1805.15
1980 04 25 12	47675.79	9.90	320.78	0.00	19.53	19.53	1891.70
1980 04 26 12	47692.80	55.88	387.87	0.00	20.52	20.52	2092.96
1980 04 27 12	47692.80	2.53	407.47	0.00	15.90	15.90	1527.02
1980 04 28 12	47959.74	0.01	359.72	0.00	13.51	13.51	1208.55
1980 04 29 12	48038.40	0.59	514.34	0.00	15.82	15.82	1344.96
1980 04 30 12	48038.40	0.00	517.60	0.00	15.86	15.86	1297.31
1980 05 01 12	48161.31	0.17	201.53	0.00	16.20	16.20	1405.66
1980 05 02 12	48384.00	0.12	338.72	0.00	17.98	17.98	1631.59
1980 05 03 12	48384.00	1.66	372.63	0.00	18.73	18.73	1663.86
1980 05 04 12	48393.57	0.00	580.99	0.00	19.73	19.73	1560.40
1980 05 05 12	48729.60	0.00	554.50	0.00	19.07	19.07	1481.73
1980 05 06 12	48729.60	0.00	576.88	0.00	20.38	20.38	1585.55
1980 05 07 12	48729.60	0.71	532.46	0.00	20.99	20.99	1813.85
1980 05 08 12	48996.54	0.75	558.36	0.00	19.64	19.64	1797.40
1980 05 09 12	49075.20	0.00	597.23	0.00	13.60	13.60	1050.29
1980 05 10 12	49075.20	0.00	582.97	0.00	16.05	16.05	1218.48
1980 05 11 12	49084.77	0.00	567.56	0.00	20.40	20.40	1884.06
1980 05 12 12	49420.80	0.00	543.97	0.00	22.73	22.73	2148.46
1980 05 13 12	49420.80	0.01	386.38	0.00	23.44	23.44	2324.01
1980 05 14 12	49420.80	10.01	332.55	0.00	22.64	22.64	2268.26
1980 05 15 12	49481.41	0.63	456.59	0.00	20.78	20.78	1929.81
1980 05 16 12	49766.40	26.48	259.30	0.00	21.28	21.28	2201.17
1980 05 17 12	49766.40	49.80	302.11	0.00	20.25	20.25	2179.36
1980 05 18 12	49766.40	2.75	498.01	0.00	21.37	21.37	2090.04
1980 05 19 12	49775.97	4.23	359.59	0.00	23.51	23.51	2358.73
1980 05 20 12	50094.99	11.36	301.56	0.00	22.14	22.14	2143.04
1980 05 21 12	50112.00	0.16	477.64	0.00	21.69	21.69	1991.12
1980 05 22 12	50112.00	36.67	259.53	0.00	20.89	20.89	2082.35
1980 05 23 12	50112.00	14.79	342.42	0.00	20.85	20.85	2120.99
1980 05 24 12	50234.91	1.87	494.04	0.00	23.02	23.02	2200.29
1980 05 25 12	50457.60	0.00	364.23	0.00	24.13	24.13	2346.41
1980 05 26 12	50457.60	0.00	573.34	0.00	24.29	24.29	2270.90
1980 05 27 12	50457.60	0.00	580.13	0.00	23.60	23.60	2158.04
1980 05 28 12	50457.60	0.00	246.57	0.00	24.44	24.44	2438.83
1980 05 29 12	50467.17	2.62	315.47	0.00	24.14	24.14	2491.64
1980 05 30 12	50724.54	0.36	547.33	0.00	24.94	24.94	2408.86
1980 05 31 12	50803.20	0.00	496.43	0.00	24.27	24.27	2354.73
1980 06 01 12	50803.20	0.00	573.95	0.00	24.53	24.53	2368.16
1980 06 02 12	50803.20	0.00	549.96	0.00	24.76	24.76	2433.18
1980 06 03 12	50803.20	0.00	572.76	0.00	24.82	24.82	2497.80
1980 06 04 12	50803.20	0.00	558.55	0.00	26.05	26.05	2601.99
1980 06 05 12	50812.77	0.00	570.91	0.00	27.16	27.16	2683.88
1980 06 06 12	50995.38	0.00	528.73	0.00	27.69	27.69	2876.53
1980 06 07 12	51131.79	0.00	574.01	0.00	27.09	27.09	2803.95
1980 06 08 12	51148.80	0.00	479.01	0.00	26.94	26.94	2885.04
1980 06 09 12	51148.80	0.07	500.00	0.00	19.16	19.16	1627.20
1980 06 10 12	51148.80	0.00	590.69	0.00	18.83	18.83	1490.32
1980 06 11 12	51148.80	0.00	583.54	0.00	22.76	22.76	1743.01
1980 06 12 12	51148.80	0.00	599.44	0.00	21.29	21.29	1588.09
1980 06 13 12	51148.80	0.00	584.19	0.00	23.08	23.08	1839.16
1980 06 14 12	51148.80	0.00	571.31	0.00	24.48	24.48	2174.75
1980 06 15 12	51148.80	0.00	578.08	0.00	24.88	24.88	2341.66
1980 06 16 12	51148.80	0.08	554.54	0.00	25.52	25.52	2510.19
1980 06 17 12	51148.80	1.58	306.23	0.00	25.71	25.71	2602.99
1980 06 18 12	51148.80	3.40	276.97	0.00	25.82	25.82	2608.54
1980 06 19 12	51148.80	5.45	341.57	0.00	25.57	25.57	2606.92
1980 06 20 12	51148.80	3.16	509.08	0.00	25.70	25.70	2472.04
1980 06 21 12	51148.80	4.21	420.25	0.00	25.27	25.27	2326.25
1980 06 22 12	51148.80	0.19	309.44	0.00	25.53	25.53	2581.82
1980 06 23 12	51148.80	12.78	305.56	0.00	24.65	24.65	2578.23
1980 06 24 12	51148.80	6.54	391.78	0.00	24.30	24.30	2491.94
1980 06 25 12	51148.80	1.27	368.65	0.00	25.73	25.73	2713.90
1980 06 26 12	51148.80	0.00	563.04	0.00	28.51	28.51	2820.66
1980 06 27 12	51148.80	0.00	561.15	0.00	28.34	28.34	2804.63
1980 06 28 12	51148.80	0.00	534.84	0.00	28.70	28.70	2941.90
1980 06 29 12	51148.80	20.81	373.18	0.00	27.38	27.38	3004.48
1980 06 30 12	51148.80	2.87	573.76	0.00	28.37	28.37	2855.69
1980 07 01 12	51148.80	0.00	635.65	0.00	28.92	28.92	2821.91
1980 07 02 12	51148.80	0.00	581.03	0.00	29.88	29.88	3147.02
1980 07 03 12	51148.80	0.00	640.23	0.00	28.65	28.65	2937.15
1980 07 04 12	51070.14	0.00	630.05	0.00	28.30	28.30	2846.66
1980 07 05 12	50926.11	0.00	623.02	0.00	29.07	29.07	3097.66
1980 07 06 12	50803.20	1.63	575.40	0.00	30.38	30.38	3245.34
1980 07 07 12	50803.20	2.72	535.26	0.00	31.03	31.03	3228.97
1980 07 08 12	50803.20	0.86	644.59	0.00	31.17	31.17	3066.26
1980 07 09 12	50803.20	0.00	636.80	0.00	30.31	30.31	3004.26
1980 07 10 12	50803.20	0.00	627.77	0.00	30.16	30.16	3055.08
1980 07 11 12	50786.19	0.00	635.29	0.00	29.87	29.87	3027.18
1980 07 12 12	50580.52	0.00	636.30	0.00	30.35	30.35	2946.55
1980 07 13 12	50457.60	0.00	643.72	0.00	30.28	30.28	2902.28
1980 07 14 12	50457.60	0.00	637.32	0.00	30.98	30.98	3151.33
1980 07 15 12	50457.60	0.07	632.61	0.00	31.81	31.81	3105.36
1980 07 16 12	50457.60	1.39	605.00	0.00	31.98	31.98	3085.06
1980 07 17 12	50378.94	0.91	624.69	0.00	30.61	30.61	2870.86
1980 07 18 12	50121.57	1.58	618.04	0.00	30.53	30.53	2812.42
1980 07 19 12	50112.00	0.96	594.87	0.00	30.09	30.09	2693.55
1980 07 20 12	50112.00	1.56	421.00	0.00	27.73	27.73	2734.75
1980 07 21 12	50112.00	6.93	372.51	0.00	26.30	26.30	2693.45
1980 07 22 12	49958.57	10.62	324.03	0.00	25.94	25.94	2713.92
1980 07 23 12	49766.40	8.23	347.30	0.00	25.51	25.51	2586.06
1980 07 24 12	49766.40	1.13	411.53	0.00	26.26	26.26	2597.90
1980 07 25 12	49766.40	3.05	356.86	0.00	26.85	26.85	2697.11
1980 07 26 12	49687.74	1.55	387.45	0.00	27.37	27.37	2765.65
1980 07 27 12	49420.80	9.14	313.36	0.00	26.20	26.20	2755.27
1980 07 28 12	49420.80	1.44	410.30	0.00	25.90	25.90	2631.73
1980 07 29 12	49420.80	0.41	618.41	0.00	27.89	27.89	2582.10
1980 07 30 12	49267.38	0.00	643.66	0.00	28.04	28.04	2508.86
1980 07 31 12	49075.20	0.00	567.10	0.00	29.27	29.27	2711.60
1980 08 01 12	49075.20	0.00	511.75	0.00	28.35	28.35	2608.18
1980 08 02 12	49075.20	7.60	431.51	0.00	28.12	28.12	2826.72
1980 08 03 12	48739.17	8.59	482.33	0.00	27.29	27.29	2766.54
1980 08 04 12	48729.60	0.99	506.13	0.00	27.67	27.67	2726.79
1980 08 05 12	48729.60	0.00	600.09	0.00	27.18	27.18	2444.24
1980 08 06 12	48650.94	0.00	538.88	0.00	28.58	28.58	2600.16
1980 08 07 12	48384.00	3.90	521.73	0.00	30.39	30.39	2664.26
1980 08 08 12	48384.00	0.51	573.78	0.00	30.49	30.49	2671.54
1980 08 09 12	48384.00	0.49	544.45	0.00	30.52	30.52	2763.65
1980 08 10 12	48038.40	1.35	386.00	0.00	29.42	29.42	2854.97
1980 08 11 12	48038.40	4.30	344.86	0.00	28.47	28.47	2882.74
1980 08 12 12	48038.40	1.72	394.14	0.00	28.06	28.06	2947.79
1980 08 13 12	47692.80	0.71	513.33	0.00	29.25	29.25	2949.37
1980 08 14 12	47692.80	4.35	504.02	0.00	28.70	28.70	2801.95
1980 08 15 12	47692.80	1.51	366.81	0.00	28.17	28.17	2925.36
1980 08 16 12	47347.20	0.18	350.72	0.00	28.37	28.37	2914.76
1980 08 17 12	47347.20	1.57	360.24	0.00	28.28	28.28	2903.60
1980 08 18 12	47347.20	7.42	362.15	0.00	28.32	28.32	2937.89
1980 08 19 12	47001.60	0.53	337.01	0.00	28.83	28.83	3023.13
1980 08 20 12	47001.60	0.02	437.68	0.00	29.67	29.67	2983.44
1980 08 21 12	47001.60	1.00	564.05	0.00	30.59	30.59	2986.20
1980 08 22 12	46656.00	0.00	599.20	0.00	28.97	28.97	2461.45
1980 08 23 12	46656.00	0.00	539.16	0.00	24.66	24.66	2199.35
1980 08 24 12	46656.00	2.19	498.47	0.00	27.05	27.05	2618.90
1980 08 25 12	46310.40	0.26	335.16	0.00	27.87	27.87	2593.96
1980 08 26 12	46310.40	0.15	563.11	0.00	26.31	26.31	2367.34
1980 08 27 12	46310.40	0.23	368.14	0.00	25.88	25.88	2066.55
1980 08 28 12	45964.80	0.67	374.82	0.00	26.27	26.27	2292.20
1980 08 29 12	45964.80	13.52	344.76	0.00	25.52	25.52	2460.65
1980 08 30 12	45964.80	1.08	320.76	0.00	25.70	25.70	2536.22
1980 08 31 12	45619.20	0.01	508.69	0.00	27.08	27.08	2574.99
1980 09 01 12	45619.20	3.45	350.24	0.00	28.18	28.18	2725.29
1980 09 02 12	45334.21	3.65	368.72	0.00	27.86	27.86	2687.50
1980 09 03 12	45273.60	0.90	340.28	0.00	27.60	27.60	2572.66
1980 09 04 12	45273.60	1.19	460.05	0.00	27.59	27.59	2507.01
1980 09 05 12	44928.00	7.00	356.55	0.00	28.15	28.15	2622.45
1980 09 06 12	44928.00	0.44	341.18	0.00	27.98	27.98	2577.19
1980 09 07 12	44928.00	0.00	515.30	0.00	28.76	28.76	2465.74
1980 09 08 12	44582.40	1.20	503.20	0.00	29.48	29.48	2265.82
1980 09 09 12	44582.40	0.00	526.01	0.00	28.74	28.74	2169.93
1980 09 10 12	44582.40	0.27	485.34	0.00	29.17	29.17	2309.23
1980 09 11 12	44236.80	0.00	524.07	0.00	25.39	25.39	2056.07
1980 09 12 12	44236.80	0.00	487.90	0.00	26.61	26.61	2148.20
1980 09 13 12	43891.20	0.00	486.38	0.00	27.76	27.76	2437.22
1980 09 14 12	43891.20	0.08	388.04	0.00	28.20	28.20	2274.09
1980 09 15 12	43891.20	0.44	511.15	0.00	28.63	28.63	2349.91
1980 09 16 12	43545.60	0.25	510.07	0.00	27.57	27.57	2252.14
1980 09 17 12	43545.60	5.56	299.71	0.00	25.05	25.05	2441.29
1980 09 18 12	43545.60	1.02	488.39	0.00	23.47	23.47	2117.42
1980 09 19 12	43200.00	0.81	371.89	0.00	23.62	23.62	1954.36
1980 09 20 12	43200.00	0.24	397.45	0.00	25.44	25.44	2552.72
1980 09 21 12	42854.40	0.56	371.20	0.00	27.10	27.10	2745.11
1980 09 22 12	42854.40	0.00	456.55	0.00	27.98	27.98	2763.76
1980 09 23 12	42854.40	2.68	410.44	0.00	26.53	26.53	2583.93
1980 09 24 12	42508.80	4.13	333.05	0.00	27.56	27.56	2640.59
1980 09 25 12	42508.80	32.20	201.34	0.00	25.96	25.96	2694.95
1980 09 26 12	42508.80	0.50	442.93	0.00	23.52	23.52	2157.66
1980 09 27 12	42163.20	0.17	185.86	0.00	18.88	18.88	1381.06
1980 09 28 12	42163.20	43.47	221.58	0.00	17.18	17.18	1770.75
1980 09 29 12	41817.60	22.56	209.10	0.00	20.55	20.55	2269.02
1980 09 30 12	41817.60	21.55	303.79	0.00	19.19	19.19	1958.52
1980 10 01 12	41817.60	0.00	496.03	0.00	20.06	20.06	1857.95
1980 10 02 12	41472.00	0.00	489.86	0.00	21.47	21.47	1867.69
1980 10 03 12	41472.00	0.00	517.68	0.00	16.83	16.83	1231.48
1980 10 04 12	41472.00	0.00	505.36	0.00	13.60	13.60	930.59
1980 10 05 12	41126.40	0.00	498.35	0.00	12.08	12.08	984.49
1980 10 06 12	41126.40	0.00	515.45	0.00	10.27	10.27	852.48
1980 10 07 12	41065.79	0.00	502.44	0.00	14.01	14.01	939.26
1980 10 08 12	40780.80	0.00	494.63	0.00	18.10	18.10	1222.87
1980 10 09 12	40780.80	0.00	488.70	0.00	19.81	19.81	1434.55
1980 10 10 12	40435.20	0.00	486.74	0.00	21.36	21.36	1547.20
1980 10 11 12	40435.20	0.00	492.58	0.00	20.23	20.23	1370.03
1980 10 12 12	40435.20	0.00	498.42	0.00	12.77	12.77	809.94
1980 10 13 12	40089.60	0.00	501.94	0.00	11.70	11.70	786.85
1980 10 14 12	40089.60	0.00	489.38	0.00	14.48	14.48	872.52
1980 10 15 12	40089.60	0.00	474.08	0.00	16.30	16.30	1201.72
1980 10 16 12	39744.00	4.38	451.75	0.00	20.37	20.37	1655.01
1980 10 17 12	39744.00	9.25	244.79	0.00	22.15	22.15	2180.01
1980 10 18 12	39744.00	16.08	265.79	0.00	23.15	23.15	2391.59
1980 10 19 12	39398.40	4.08	313.17	0.00	21.10	21.10	1946.01
1980 10 20 12	39398.40	0.00	433.52	0.00	12.59	12.59	914.44
1980 10 21 12	39398.40	0.00	458.53	0.00	14.75	14.75	963.51
1980 10 22 12	39052.80	0.00	305.65	0.00	16.89	16.89	1210.30
1980 10 23 12	39052.80	2.18	378.30	0.00	17.10	17.10	1418.22
1980 10 24 12	39052.80	13.41	269.76	0.00	15.54	15.54	1501.50
1980 10 25 12	38707.20	4.58	434.91	0.00	11.21	11.21	1031.40
1980 10 26 12	38707.20	0.78	413.46	0.00	9.15	9.15	777.50
1980 10 27 12	38707.20	14.07	117.62	0.00	11.28	11.28	1117.56
1980 10 28 12	38361.60	26.78	366.30	0.00	16.86	16.86	1598.62
1980 10 29 12	38361.60	0.09	306.90	0.00	12.87	12.87	1212.61
1980 10 30 12	38361.60	0.10	428.01	0.00	10.37	10.37	881.30
1980 10 31 12	38016.00	0.00	446.33	0.00	8.64	8.64	711.61
1980 11 01 12	38016.00	0.00	392.01	0.00	12.42	12.42	831.80
1980 11 02 12	38016.00	0.00	368.02	0.00	15.71	15.71	1027.85
1980 11 03 12	37749.06	0.00	316.54	0.00	17.70	17.70	1290.26
1980 11 04 12	37670.40	0.00	378.95	0.00	16.81	16.81	1236.75
1980 11 05 12	37670.40	0.00	378.99	0.00	11.92	11.92	768.98
1980 11 06 12	37660.83	0.00	378.89	0.00	12.01	12.01	732.39
1980 11 07 12	37324.80	0.00	370.29	0.00	14.16	14.16	1114.19
1980 11 08 12	37324.80	0.00	364.97	0.00	16.68	16.68	1467.50
1980 11 09 12	37324.80	0.00	361.34	0.00	17.86	17.86	1646.13
1980 11 10 12	37132.62	0.00	370.64	0.00	19.03	19.03	1491.73
1980 11 11 12	36979.20	0.00	373.69	0.00	13.88	13.88	826.87
1980 11 12 12	36979.20	0.00	371.06	0.00	10.44	10.44	614.17
1980 11 13 12	36979.20	0.00	363.50	0.00	11.53	11.53	665.75
1980 11 14 12	36712.26	16.92	127.95	0.00	13.43	13.43	1244.71
1980 11 15 12	36633.60	18.06	198.53	0.00	16.53	16.53	1691.69
1980 11 16 12	36633.60	0.19	195.96	0.00	13.39	13.39	1334.98
1980 11 17 12	36633.60	19.67	124.41	0.00	15.56	15.56	1646.42
1980 11 18 12	36441.43	0.22	198.35	0.00	8.99	8.99	1028.16
1980 11 19 12	36288.00	0.00	347.67	0.00	4.59	4.59	591.67
1980 11 20 12	36288.00	0.00	340.14	0.00	4.29	4.29	561.90
1980 11 21 12	36288.00	0.00	355.89	0.00	5.40	5.40	598.12
1980 11 22 12	36278.43	1.21	197.35	0.00	6.43	6.43	660.75
1980 11 23 12	36021.06	43.72	100.01	0.00	7.95	7.95	997.07
1980 11 24 12	35942.40	4.57	270.96	0.00	11.65	11.65	1211.17
1980 11 25 12	35942.40	0.36	325.27	0.00	8.54	8.54	872.51
1980 11 26 12	35942.40	15.05	94.44	0.00	5.37	5.37	805.82
1980 11 27 12	35942.40	15.00	249.61	0.00	5.22	5.22	785.90
1980 11 28 12	35819.48	0.00	150.74	0.00	4.50	4.50	671.09
1980 11 29 12	35613.81	0.00	344.18	0.00	6.23	6.23	654.68
1980 11 30 12	35596.80	0.00	336.04	0.00	7.60	7.60	641.48
1980 12 01 12	35596.80	0.00	319.68	0.00	9.37	9.37	900.67
1980 12 02 12	35596.80	0.00	166.73	0.00	13.19	13.19	1295.41
1980 12 03 12	35596.80	0.00	328.08	0.00	4.66	4.66	607.13
1980 12 04 12	35596.80	0.00	319.55	0.00	5.67	5.67	579.34
1980 12 05 12	35473.89	0.00	315.52	0.00	8.26	8.26	751.04
1980 12 06 12	35329.86	0.00	308.80	0.00	12.12	12.12	1089.71
1980 12 07 12	35251.20	0.00	309.31	0.00	14.54	14.54	1263.77
1980 12 08 12	35251.20	0.38	239.37	0.00	14.79	14.79	1340.34
1980 12 09 12	35251.20	15.22	103.54	0.00	17.08	17.08	1780.51
1980 12 10 12	35251.20	8.05	315.32	0.00	10.90	10.90	1114.38
1980 12 11 12	35251.20	0.00	317.36	0.00	3.60	3.60	584.03
1980 12 12 12	35251.20	0.00	313.63	0.00	5.82	5.82	629.03
1980 12 13 12	35251.20	0.00	307.94	0.00	7.21	7.21	758.89
1980 12 14 12	35251.20	0.03	323.41	0.00	5.89	5.89	635.22
1980 12 15 12	35251.20	0.37	280.91	0.00	6.91	6.91	567.01
1980 12 16 12	35251.20	0.09	167.29	0.00	9.81	9.81	903.04
1980 12 17 12	35251.20	0.00	317.17	0.00	5.30	5.30	606.14
1980 12 18 12	35251.20	0.00	305.87	0.00	5.50	5.50	590.63
1980 12 19 12	35251.20	0.00	128.13	0.00	5.82	5.82	739.21
1980 12 20 12	35251.20	0.00	258.85	0.00	-0.47	-0.47	320.77
1980 12 21 12	35251.20	0.00	215.06	0.00	-0.71	-0.71	327.07
